step          sigma             mu

0       0.629767       0.818646
1       0.634317        0.81406
2       0.638072        0.81651
3       0.638072        0.81651
4       0.637296       0.812804
5       0.641422       0.815533
6       0.636072       0.816039
7       0.636791       0.820669
8       0.637043       0.818372
9       0.636472       0.815904
10       0.636472       0.815904
11       0.635331       0.819843
12        0.62936       0.817893
13        0.63158       0.812125
14        0.63158       0.812125
15       0.633115       0.813581
16       0.637241       0.807722
17       0.637241       0.807722
18       0.631441        0.80239
19       0.636134       0.801366
20       0.630059       0.803456
21       0.630185       0.801173
22       0.632258       0.802209
23       0.632258       0.802209
24       0.632258       0.802209
25       0.629627       0.798737
26       0.635076       0.798484
27       0.635871       0.797993
28       0.635871       0.797993
29       0.630419        0.79322
30       0.631835       0.794609
31       0.636461       0.796046
32       0.630494       0.796944
33       0.628179       0.799134
34       0.621873        0.79568
35        0.61939       0.801332
36        0.61424       0.796456
37        0.61424       0.796456
38       0.607967        0.79036
39       0.614056       0.784822
40       0.610686       0.780675
41       0.613375       0.775755
42       0.610616        0.77012
43       0.609235       0.770652
44       0.608493       0.773244
45       0.610236       0.777579
46       0.607892       0.779007
47       0.607892       0.779007
48       0.609189       0.781153
49       0.613965       0.779575
50       0.619817         0.7742
51       0.619817         0.7742
52       0.618582       0.768241
53       0.618582       0.768241
54         0.6144        0.76222
55         0.6144        0.76222
56        0.61585        0.76756
57       0.613768        0.76236
58        0.61778       0.765226
59        0.61778       0.765226
60       0.622859       0.768733
61       0.620647       0.768265
62       0.625699       0.761758
63       0.625699       0.761758
64       0.621097        0.76547
65       0.620419       0.771924
66       0.618816       0.775308
67       0.620654        0.77701
68       0.623397       0.776455
69       0.627436       0.776106
70       0.620894       0.772946
71       0.616543       0.772029
72       0.621185       0.770963
73       0.615701       0.768009
74       0.614415       0.764672
75       0.617829       0.771294
76       0.617829       0.771294
77       0.617829       0.771294
78       0.613591       0.772909
79       0.616202       0.768526
80       0.616202       0.768526
81        0.61715       0.769865
82       0.619074       0.770008
